ticker,announce_date,announce_hour,eps_est,eps_act
CRM,2025-09-03,16.0,2.78,2.91
CRM,2025-05-28,16.0,2.55,2.58
CRM,2025-02-26,16.0,2.61,2.78
CRM,2024-12-03,16.0,2.45,2.41
CRM,2024-08-28,16.0,2.36,2.56
CRM,2024-05-29,16.0,2.37,2.44
CRM,2024-02-28,16.0,2.27,2.29
CRM,2023-11-29,16.0,2.06,2.11
CRM,2023-08-30,16.0,1.9,2.12
CRM,2023-05-31,16.0,1.61,1.69
CRM,2023-03-01,16.0,1.36,1.68
CRM,2022-11-30,16.0,1.22,1.4
CRM,2022-08-24,16.0,1.03,1.19
CRM,2022-05-31,16.0,0.94,0.98
CRM,2022-03-01,16.0,0.75,0.84
CRM,2021-11-30,16.0,0.92,1.27
CRM,2021-08-25,16.0,0.93,1.48
CRM,2021-05-27,16.0,0.88,1.21
CRM,2021-02-25,16.0,0.75,1.04
CRM,2020-12-01,16.0,0.75,1.74
CRM,2020-08-25,16.0,0.67,1.44
CRM,2020-05-28,16.0,0.69,0.7
CRM,2020-02-25,16.0,0.56,0.66
CRM,2019-12-03,16.0,0.66,0.75
CRM,2019-08-22,16.0,0.47,0.66
CRM,2019-06-04,16.0,0.61,0.93
CRM,2019-03-04,16.0,0.55,0.7
CRM,2018-11-27,16.0,0.5,0.61
CRM,2018-08-29,16.0,0.47,0.71
CRM,2018-05-29,16.0,0.46,0.74
CRM,2018-02-28,16.0,0.34,0.35
CRM,2017-11-21,16.0,0.37,0.39
CRM,2017-08-22,16.0,0.32,0.33
CRM,2017-05-18,16.0,0.26,0.28
CRM,2017-02-28,16.0,0.25,0.28
CRM,2016-11-17,16.0,0.21,0.24
CRM,2016-08-31,16.0,0.22,0.24
CRM,2016-05-18,16.0,0.23,0.24
CRM,2016-02-24,16.0,0.19,0.19
CRM,2015-11-18,16.0,0.19,0.21
CRM,2015-08-20,16.0,0.17,0.19
CRM,2015-05-20,16.0,0.14,0.16
CRM,2015-02-25,16.0,0.14,0.14
CRM,2014-11-19,16.0,0.13,0.14
CRM,2014-08-21,16.0,0.12,0.13
ADBE,2026-12-09,15.0,6.33,
ADBE,2026-09-10,16.0,6.09,6.13
ADBE,2026-06-11,16.0,5.81,5.96
ADBE,2026-03-12,16.0,5.87,6.06
ADBE,2025-12-10,16.0,5.4,5.5
ADBE,2025-09-11,16.0,5.18,5.31
ADBE,2025-06-12,16.0,4.97,5.06
ADBE,2025-03-12,16.0,4.97,5.08
ADBE,2024-12-11,16.0,4.67,4.81
ADBE,2024-09-12,16.0,4.54,4.65
ADBE,2024-06-13,16.0,4.4,4.48
ADBE,2024-03-14,16.0,4.38,4.48
ADBE,2023-12-13,16.0,4.14,4.27
ADBE,2023-09-14,16.0,3.98,4.1
ADBE,2023-06-15,16.0,3.79,3.91
ADBE,2023-03-15,16.0,3.68,3.8
ADBE,2022-12-15,16.0,3.5,3.6
ADBE,2022-09-15,8.0,3.34,3.4
ADBE,2022-06-16,16.0,3.31,3.35
ADBE,2022-03-22,16.0,3.34,3.37
ADBE,2021-12-16,8.0,3.2,3.2
ADBE,2021-09-21,16.0,3.02,3.11
ADBE,2021-06-17,16.0,2.82,3.03
ADBE,2021-03-23,16.0,2.79,3.14
ADBE,2020-12-10,8.0,2.66,2.81
ADBE,2020-09-15,16.0,2.41,2.57
ADBE,2020-06-11,16.0,2.32,2.45
ADBE,2020-03-12,16.0,2.23,2.27
ADBE,2019-12-12,16.0,2.26,2.29
ADBE,2019-09-17,16.0,1.97,2.05
ADBE,2019-06-18,16.0,1.78,1.83
ADBE,2019-03-14,16.0,1.62,1.71
ADBE,2018-12-13,16.0,1.84,1.83
ADBE,2018-09-13,16.0,1.69,1.73
ADBE,2018-06-14,16.0,1.54,1.66
ADBE,2018-03-15,16.0,1.44,1.55
ADBE,2017-12-14,16.0,1.16,1.26
ADBE,2017-09-19,16.0,1.01,1.1
ADBE,2017-06-20,16.0,0.95,1.02
ADBE,2017-03-16,16.0,0.87,0.94
ADBE,2016-12-15,16.0,0.86,0.9
ADBE,2016-09-20,16.0,0.72,0.75
ADBE,2016-06-21,16.0,0.68,0.71
ADBE,2016-03-17,16.0,0.61,0.66
ADBE,2015-12-10,16.0,0.6,0.62
ADBE,2015-09-17,16.0,0.5,0.54
ADBE,2015-06-16,16.0,0.45,0.48
ADBE,2015-03-17,16.0,0.39,0.44
ADBE,2014-12-11,16.0,0.3,0.36
ADBE,2014-09-16,16.0,0.26,0.28
CSCO,2026-11-12,15.0,1.32,
CSCO,2026-08-12,16.0,1.17,1.22
CSCO,2026-05-13,16.0,1.04,1.06
CSCO,2026-02-11,16.0,1.02,1.04
CSCO,2025-11-12,16.0,0.98,1.0
CSCO,2025-08-13,16.0,0.98,0.99
CSCO,2025-05-14,16.0,0.92,0.96
CSCO,2025-02-12,16.0,0.91,0.94
CSCO,2024-11-13,16.0,0.87,0.91
CSCO,2024-08-14,16.0,0.85,0.87
CSCO,2024-05-15,16.0,0.82,0.88
CSCO,2024-02-14,16.0,0.84,0.87
CSCO,2023-11-15,16.0,1.03,1.11
CSCO,2023-08-16,16.0,1.06,1.14
CSCO,2023-05-17,16.0,0.97,1.0
CSCO,2023-02-15,16.0,0.86,0.88
CSCO,2022-11-16,16.0,0.84,0.86
CSCO,2022-08-17,16.0,0.82,0.83
CSCO,2022-05-18,16.0,0.86,0.87
CSCO,2022-02-16,16.0,0.81,0.84
CSCO,2021-11-17,16.0,0.8,0.82
CSCO,2021-08-18,16.0,0.83,0.84
CSCO,2021-05-19,16.0,0.82,0.83
CSCO,2021-02-09,16.0,0.76,0.79
CSCO,2020-11-12,16.0,0.7,0.76
CSCO,2020-08-12,16.0,0.74,0.8
CSCO,2020-05-13,16.0,0.71,0.79
CSCO,2020-02-12,16.0,0.76,0.77
CSCO,2019-11-13,16.0,0.81,0.84
CSCO,2019-08-14,16.0,0.82,0.83
CSCO,2019-05-15,16.0,0.77,0.78
CSCO,2019-02-13,16.0,0.72,0.73
CSCO,2018-11-14,16.0,0.72,0.75
CSCO,2018-08-15,16.0,0.69,0.7
CSCO,2018-05-16,16.0,0.65,0.66
CSCO,2018-02-14,16.0,0.59,0.63
CSCO,2017-11-15,16.0,0.6,0.61
CSCO,2017-08-16,16.0,0.61,0.61
CSCO,2017-05-17,16.0,0.58,0.6
CSCO,2017-02-15,16.0,0.56,0.57
CSCO,2016-11-16,16.0,0.59,0.61
CSCO,2016-08-17,16.0,0.6,0.63
CSCO,2016-05-18,16.0,0.55,0.57
CSCO,2016-02-10,16.0,0.54,0.57
CSCO,2015-11-12,16.0,0.56,0.59
CSCO,2015-08-12,16.0,0.56,0.59
CSCO,2015-05-13,16.0,0.53,0.54
CSCO,2015-02-11,16.0,0.51,0.53
CSCO,2014-11-12,16.0,0.53,0.54
CSCO,2014-08-13,16.0,0.53,0.55
AMD,2026-11-03,15.0,1.93,
AMD,2026-08-04,16.0,1.61,1.66
AMD,2026-05-05,16.0,1.29,1.37
AMD,2026-02-03,16.0,1.32,1.53
AMD,2025-11-04,16.0,1.17,1.2
